Time,Latitude,Longitude,Place,Magnitude
2023-09-11T14:57:48.387Z,38.6188,143.0063,Japan,4.1
2023-09-11T14:17:01.442Z,31.2435,130.2734,Japan,4.3
2023-09-11T04:09:29.921Z,41.0053,144.4755,Japan,4.3
2023-09-10T22:57:56.608Z,29.3614,129.2749,Japan,4.4
2023-09-10T19:53:15.562Z,37.4689,134.5714,Japan,4.0
2023-09-10T17:58:28.903Z,31.1037,131.503,Japan,4.6
2023-09-10T15:01:59.547Z,29.2562,129.4839,Japan,5.3
2023-09-10T05:28:32.873Z,29.3174,129.306,Japan,4.8
2023-09-09T09:28:28.045Z,29.3745,129.1647,Japan,4.7
2023-09-09T04:46:31.359Z,29.3465,129.2278,Japan,4.5
2023-09-09T03:03:36.170Z,29.3358,129.3672,Japan,4.7
2023-09-09T02:41:34.354Z,33.5214,132.0013,Japan,4.6
2023-09-09T02:40:11.244Z,29.3161,129.6954,Japan,4.4
2023-09-09T00:44:01.126Z,29.3746,129.2545,Japan,4.3
2023-09-08T22:47:02.761Z,29.3341,129.2823,Japan,4.9
2023-09-08T22:09:49.234Z,25.0871,124.7906,Japan,4.7
2023-09-08T19:32:24.326Z,29.2975,129.45,Japan,4.7
2023-09-08T18:28:42.859Z,29.2525,129.4082,Japan,4.2
2023-09-08T18:23:12.233Z,29.1461,129.4354,Japan,4.4
2023-09-08T18:08:14.413Z,29.2727,129.4376,Japan,5.1
2023-09-08T17:28:52.392Z,29.1423,129.5972,Japan,5.0
2023-09-08T17:25:34.060Z,29.2862,129.3355,Japan,4.6
2023-09-08T17:14:18.127Z,29.3228,129.2717,Japan,4.2
2023-09-08T17:08:26.514Z,25.2465,128.2464,Japan,4.6
2023-09-08T15:23:59.209Z,29.254,129.6253,Japan,4.6
2023-09-08T13:08:26.928Z,29.3247,129.3425,Japan,4.1
2023-09-08T09:37:46.188Z,29.1853,129.7057,Japan,4.5
2023-09-08T09:28:48.829Z,38.9143,142.1007,Japan,5.2
2023-09-08T04:15:38.949Z,29.2788,129.4194,Japan,4.5
2023-09-08T04:05:07.992Z,29.3605,129.3563,Japan,4.4
2023-09-08T02:15:36.108Z,29.3393,129.2478,Japan,4.5
2023-09-07T19:55:19.538Z,29.2873,129.3671,Japan,4.2
2023-09-07T17:50:27.120Z,29.1912,129.5325,Japan,4.3
2023-09-07T15:40:52.559Z,37.6407,141.886,Japan,4.7
2023-09-07T15:37:12.757Z,25.1156,125.6105,Japan,4.5
2023-09-06T21:46:09.967Z,38.485,144.5248,Japan,4.2
2023-09-06T03:21:18.523Z,40.5178,142.6841,Japan,4.3
2023-09-05T07:52:59.147Z,36.6929,141.6411,Japan,4.5
2023-09-05T07:22:06.736Z,23.0443,124.4637,Japan,4.8
2023-09-05T04:33:04.575Z,35.6605,140.1635,Japan,4.5
2023-09-05T04:27:16.652Z,35.7004,140.1358,Japan,4.9
2023-09-05T02:44:11.525Z,35.4881,140.4773,Japan,4.0
2023-09-05T01:09:46.146Z,39.5485,143.0845,Japan,4.4
2023-09-04T21:12:40.091Z,37.0131,141.7745,Japan,4.4
2023-09-04T07:50:58.822Z,24.75,122.4667,Japan,4.6
2023-09-04T03:54:09.458Z,37.3801,141.4346,Japan,4.3
2023-09-04T01:13:52.296Z,42.706,146.5693,Japan,4.3
2023-09-03T04:28:43.507Z,41.0942,142.8748,Japan,4.3
2023-09-02T15:03:05.610Z,43.0476,144.2535,Japan,4.6
2023-09-02T06:12:37.127Z,36.6922,142.2792,Japan,3.9
2023-09-01T08:56:25.689Z,39.5546,143.3858,Japan,4.4
2023-09-01T06:31:20.962Z,39.3607,143.165,Japan,4.1
2023-08-31T06:05:46.224Z,37.5974,141.873,Japan,4.3
2023-08-30T23:03:14.567Z,30.3285,131.3573,Japan,4.3
2023-08-30T21:17:18.039Z,37.7327,141.9207,Japan,4.3
2023-08-29T12:37:12.727Z,35.7039,140.772,Japan,4.1
2023-08-28T17:57:39.947Z,25.8229,125.1116,Japan,4.6
2023-08-28T09:08:32.595Z,37.0609,142.4156,Japan,4.8
2023-08-27T17:03:49.506Z,36.4491,142.6936,Japan,5.0
2023-08-27T16:41:50.692Z,36.5338,142.6293,Japan,4.6
2023-08-27T12:35:43.472Z,24.55,127.7566,Japan,4.4
2023-08-27T03:58:13.758Z,43.7631,140.7365,Japan,4.1
2023-08-27T00:56:48.052Z,35.4363,141.0887,Japan,4.8
2023-08-26T13:29:33.083Z,33.8925,131.8827,Japan,4.7
2023-08-25T22:02:11.184Z,36.5371,140.8287,Japan,4.1
2023-08-25T10:11:54.282Z,39.5215,143.4871,Japan,4.5
2023-08-24T22:48:23.843Z,39.5518,143.3026,Japan,5.8
2023-08-22T15:03:50.092Z,40.2714,141.8407,Japan,4.6
2023-08-22T14:34:16.132Z,32.2394,139.0123,Japan,4.1
2023-08-21T17:41:34.740Z,38.2644,141.9755,Japan,4.3
2023-08-21T11:47:01.146Z,27.3372,129.0715,Japan,4.1
2023-08-21T10:04:42.940Z,42.674,142.7842,Japan,4.6
2023-08-19T05:07:02.079Z,35.8696,136.7034,Japan,4.2
2023-08-18T18:33:04.874Z,42.3156,143.0491,Japan,4.9
2023-08-18T18:22:25.278Z,39.7461,141.8842,Japan,4.4
2023-08-16T13:59:17.807Z,38.0175,142.0112,Japan,4.5
2023-08-16T13:29:33.936Z,39.8033,141.7437,Japan,4.6
2023-08-16T08:56:31.370Z,37.8288,141.7886,Japan,4.2
2023-08-15T17:07:31.112Z,24.8191,125.4234,Japan,5.0
2023-08-15T15:02:05.845Z,29.3376,130.2883,Japan,4.4
2023-08-13T18:41:22.962Z,24.3394,122.4335,Japan,4.2
2023-08-12T04:24:25.465Z,29.3408,130.5714,Japan,4.6
2023-08-11T13:20:09.233Z,38.6875,142.4385,Japan,4.4
2023-08-11T00:34:13.922Z,41.2736,142.7097,Japan,4.5
2023-08-10T00:20:39.085Z,33.0035,137.8245,Japan,4.0
2023-08-09T11:41:48.682Z,35.123,140.7293,Japan,4.2
2023-08-08T17:43:12.714Z,38.0293,141.8426,Japan,4.1
2023-08-07T09:14:14.132Z,36.0856,142.0975,Japan,4.6
2023-08-07T04:48:18.915Z,37.2351,142.2874,Japan,4.5
2023-08-06T18:35:24.146Z,30.6787,131.4285,Japan,4.5
2023-08-06T18:32:16.805Z,30.7684,131.4857,Japan,4.9
2023-08-06T18:12:41.603Z,30.7578,131.4022,Japan,5.5
2023-08-04T22:35:44.674Z,34.155,136.7865,Japan,4.0
2023-08-04T19:27:37.721Z,36.8097,140.7806,Japan,4.4
2023-08-01T15:26:15.200Z,38.8375,141.6817,Japan,4.2
2023-08-01T13:07:20.186Z,40.2773,140.5781,Japan,4.9
2023-08-01T08:38:21.892Z,36.8986,142.041,Japan,4.5
2023-07-31T22:32:59.445Z,43.2747,143.4001,Japan,4.4
2023-07-31T21:12:47.850Z,39.6413,143.3894,Japan,4.8
2023-07-31T09:08:11.322Z,30.1109,131.0724,Japan,4.5
2023-07-29T10:34:12.015Z,36.3664,139.9253,Japan,4.6
2023-07-28T23:32:48.611Z,25.6149,128.8165,Japan,4.4
2023-07-28T07:44:34.553Z,41.3901,144.3692,Japan,4.7
2023-07-26T21:31:31.001Z,44.3478,140.6645,Japan,4.7
2023-07-26T12:37:00.242Z,36.4862,132.5615,Japan,4.3
2023-07-26T05:59:26.586Z,31.969,131.6554,Japan,4.6
2023-07-24T06:37:01.103Z,38.2284,141.5449,Japan,4.4
2023-07-24T04:02:05.894Z,35.9355,140.0946,Japan,4.5
2023-07-24T01:16:55.789Z,32.8459,140.6542,Japan,4.4
2023-07-23T03:36:37.320Z,36.6195,141.1664,Japan,4.1
2023-07-22T12:14:26.026Z,32.6728,132.0014,Japan,4.9
2023-07-22T01:52:29.955Z,36.448,140.5928,Japan,4.8
2023-07-21T04:20:32.497Z,26.754,130.0809,Japan,4.5
2023-07-20T04:08:12.593Z,35.6799,140.7499,Japan,4.4
2023-07-19T20:26:18.412Z,23.0396,125.3366,Japan,4.1
2023-07-19T13:40:12.939Z,37.7918,141.8185,Japan,4.4
2023-07-19T07:34:04.007Z,43.2399,138.017,Japan,4.2
2023-07-18T11:00:54.924Z,36.8516,141.0113,Japan,4.0
2023-07-17T16:23:37.703Z,27.6151,130.7553,Japan,4.9
2023-07-17T00:37:11.694Z,42.8215,143.2804,Japan,4.8
2023-07-16T05:22:05.240Z,34.1252,135.5929,Japan,4.1
2023-07-14T11:53:15.139Z,23.8941,122.4418,Japan,4.1
2023-07-13T14:40:59.037Z,35.1323,135.9396,Japan,4.4
2023-07-13T10:07:43.436Z,25.1872,123.246,Japan,4.4
2023-07-13T04:43:54.456Z,40.067,142.7592,Japan,5.0
2023-07-12T20:41:21.570Z,40.4858,141.8844,Japan,4.0
2023-07-11T20:27:55.278Z,42.9723,145.6665,Japan,4.2
2023-07-11T17:55:10.814Z,23.9374,122.4446,Japan,4.4
2023-07-10T14:17:29.009Z,42.7605,141.9293,Japan,4.0
2023-07-10T12:25:47.430Z,37.0077,141.084,Japan,4.3
2023-07-10T01:40:52.092Z,35.6332,140.7123,Japan,4.4
2023-07-09T19:52:21.986Z,35.6067,140.4101,Japan,4.6
2023-07-09T19:20:14.590Z,24.2262,123.4016,Japan,4.3
2023-07-09T11:44:02.133Z,35.0363,140.5855,Japan,4.3
2023-07-08T04:37:45.102Z,39.0656,142.3122,Japan,4.3
2023-07-07T04:59:15.520Z,40.4044,142.3071,Japan,4.2
2023-07-05T16:49:49.708Z,42.3857,142.4809,Japan,4.6
2023-07-05T10:13:27.834Z,40.7696,144.8072,Japan,4.2
2023-07-04T06:24:48.402Z,40.4993,139.8307,Japan,4.0
2023-07-02T06:08:06.466Z,26.7267,129.6335,Japan,4.0
2023-07-01T14:38:55.223Z,35.5011,141.1034,Japan,4.9
2023-06-30T17:57:18.344Z,24.3561,124.9122,Japan,4.6
2023-06-30T05:23:39.615Z,36.5965,140.9286,Japan,4.3
2023-06-29T15:48:05.468Z,36.5555,140.7564,Japan,4.2
2023-06-29T14:40:44.948Z,24.6938,122.4949,Japan,4.3
2023-06-28T17:08:10.541Z,39.961,143.7065,Japan,4.5
2023-06-28T04:27:17.831Z,35.5006,140.2924,Japan,4.3
2023-06-28T03:08:11.986Z,35.728,141.4123,Japan,4.6
2023-06-25T08:46:30.161Z,40.2185,141.9548,Japan,4.1
2023-06-24T11:39:18.244Z,38.468,142.1912,Japan,4.1
2023-06-24T00:58:30.728Z,37.2583,142.0024,Japan,4.7
2023-06-23T17:39:13.135Z,45.8109,143.1203,Japan,5.6
2023-06-22T20:51:51.779Z,34.3023,141.5669,Japan,4.4
2023-06-22T17:33:46.493Z,34.3441,141.4584,Japan,4.6
2023-06-22T07:39:47.575Z,41.5834,142.0686,Japan,4.4
2023-06-22T01:24:16.349Z,26.3496,127.8415,Japan,5.0
2023-06-20T23:33:47.635Z,33.7277,136.0713,Japan,5.0
2023-06-20T21:22:00.095Z,39.1237,142.1614,Japan,4.3
2023-06-19T23:47:14.748Z,31.3435,131.3027,Japan,4.4
2023-06-19T23:44:40.435Z,35.8745,139.7498,Japan,4.2
2023-06-18T20:37:01.887Z,31.125,131.551,Japan,4.4
2023-06-18T16:58:44.114Z,31.1917,131.559,Japan,4.8
2023-06-18T09:46:54.493Z,34.4988,143.079,Japan,4.4
2023-06-17T14:10:17.820Z,39.0993,144.8538,Japan,4.2
2023-06-17T13:42:02.390Z,37.1931,137.9395,Japan,4.3
2023-06-17T11:42:40.455Z,41.3973,142.6033,Japan,5.0
2023-06-17T09:37:41.605Z,42.1227,142.7791,Japan,4.3
2023-06-17T04:57:42.015Z,40.257,143.7456,Japan,4.8
2023-06-17T00:26:15.154Z,41.1421,142.7329,Japan,5.6
2023-06-16T12:24:09.390Z,35.6288,140.7607,Japan,4.9
2023-06-16T12:14:02.978Z,35.7309,140.1945,Japan,4.4
2023-06-15T01:38:18.065Z,25.0526,122.9114,Japan,3.7
2023-06-15T01:13:05.084Z,33.5488,141.1637,Japan,4.4
2023-06-14T16:50:32.098Z,24.8795,122.55,Japan,4.3
2023-06-14T15:07:39.312Z,35.6895,140.7296,Japan,4.4
2023-06-14T15:06:42.349Z,35.6752,140.7184,Japan,4.4
2023-06-14T14:28:32.481Z,29.1514,130.5682,Japan,4.2
2023-06-14T14:25:25.117Z,29.1261,130.4176,Japan,4.6
